               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029881,            0.014376,            0.016143,             0.78323,             0.52524,              0.6348,             0.41141,            0.033025,            0.012208,            0.023159,            0.002872,            0.002872,            0.002872
                  38,            0.029135,            0.013889,            0.016765,             0.79023,             0.51788,             0.63747,              0.4133,            0.031601,            0.012188,            0.023018,            0.002674,            0.002674,            0.002674
                  39,             0.02837,             0.01521,            0.016227,             0.82139,             0.50167,             0.64717,             0.43315,            0.032843,            0.012182,            0.022758,            0.002476,            0.002476,            0.002476
                  40,            0.027545,            0.014213,            0.015073,             0.82813,             0.50216,             0.63868,             0.44291,            0.031158,            0.012079,            0.022576,            0.002278,            0.002278,            0.002278
                  41,             0.02777,            0.014961,            0.015463,             0.69493,             0.53633,             0.64105,             0.44214,            0.031577,            0.011894,            0.022466,             0.00208,             0.00208,             0.00208
                  42,            0.027029,            0.013807,            0.016058,             0.72074,              0.5384,             0.64598,             0.46027,            0.029889,            0.012064,            0.022333,            0.001882,            0.001882,            0.001882
                  43,            0.027082,            0.014948,            0.016282,             0.69859,             0.54918,             0.64178,             0.43696,            0.031091,            0.011949,            0.022171,            0.001684,            0.001684,            0.001684
                  44,             0.02496,            0.014097,             0.01592,             0.72425,             0.53686,             0.65231,             0.46867,            0.029594,            0.011913,            0.022023,            0.001486,            0.001486,            0.001486
                  45,            0.025654,            0.013604,            0.015329,             0.73284,             0.54304,             0.64437,             0.46034,             0.02916,            0.011878,            0.021944,            0.001288,            0.001288,            0.001288
                  46,            0.024753,            0.012977,            0.015083,             0.71448,             0.53621,             0.64172,             0.45246,            0.029432,            0.011929,              0.0219,             0.00109,             0.00109,             0.00109
                  47,            0.024896,            0.014073,            0.015486,             0.73445,             0.53835,             0.64181,             0.46529,            0.029132,            0.012005,            0.021787,            0.000892,            0.000892,            0.000892
                  48,            0.023619,            0.012797,            0.015784,             0.75701,             0.54794,             0.64577,             0.46352,            0.028866,            0.011963,            0.021755,            0.000694,            0.000694,            0.000694
                  49,            0.022986,            0.014103,            0.014117,             0.75485,             0.55226,             0.64862,              0.4698,            0.028411,            0.011927,            0.021712,            0.000496,            0.000496,            0.000496
