               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12488,            0.032843,            0.075074,          0.00079201,            0.082213,           0.0056112,            0.001698,             0.11492,            0.023014,            0.073241,              0.0892,              0.0012,              0.0012
                   1,             0.10884,            0.033645,              0.0699,           0.0011503,             0.15772,             0.02948,            0.010037,            0.099743,            0.023628,            0.066501,            0.077452,           0.0024524,           0.0024524
                   2,            0.095043,            0.037995,            0.062794,             0.85562,            0.055336,              0.0518,            0.015768,            0.088014,            0.022079,             0.05787,            0.065655,           0.0036553,           0.0036553
                   3,            0.086014,            0.034105,            0.056346,           0.0039582,             0.46675,            0.017923,           0.0048881,            0.089252,            0.020641,            0.053678,            0.053809,           0.0048087,           0.0048087
                   4,            0.077445,            0.035222,             0.05214,             0.93584,            0.051383,            0.058855,            0.018538,            0.080802,            0.019176,            0.051622,            0.041913,           0.0059126,           0.0059126
                   5,            0.075683,            0.032137,            0.048994,             0.33651,             0.20392,            0.081586,             0.02843,            0.079948,            0.017494,            0.048936,            0.029967,            0.006967,            0.006967
                   6,            0.074705,            0.029057,            0.045159,             0.53725,              0.1933,             0.11461,             0.03485,            0.075897,            0.017908,            0.047328,            0.017972,           0.0079719,           0.0079719
                   7,            0.074714,             0.02731,            0.043741,             0.58627,             0.18095,             0.11009,            0.032643,            0.087375,            0.015304,            0.044767,           0.0086673,           0.0086673,           0.0086673
                   8,            0.074142,            0.025687,            0.041373,             0.63109,             0.20103,             0.19184,            0.064644,            0.071541,            0.016188,            0.042527,           0.0086673,           0.0086673,           0.0086673
                   9,            0.066159,            0.024634,            0.041114,             0.73963,             0.24867,             0.25421,              0.1188,            0.062034,            0.016479,            0.040944,           0.0084769,           0.0084769,           0.0084769
                  10,            0.063878,            0.025532,            0.037459,             0.77465,             0.23487,             0.27326,             0.10974,            0.066594,            0.014711,            0.039325,           0.0082865,           0.0082865,           0.0082865
                  11,            0.058822,            0.023689,            0.034937,              0.4906,             0.31615,             0.22515,             0.09004,            0.065891,            0.014396,             0.03787,           0.0080962,           0.0080962,           0.0080962
                  12,            0.060001,            0.021762,            0.033873,             0.70612,             0.26229,             0.28077,              0.1329,            0.055768,            0.014929,            0.036997,           0.0079058,           0.0079058,           0.0079058
                  13,            0.058733,            0.021405,            0.031535,              0.7223,             0.23856,             0.26492,             0.11023,            0.063831,            0.014434,            0.035921,           0.0077154,           0.0077154,           0.0077154
                  14,            0.055964,            0.022078,            0.030326,             0.53324,             0.40881,             0.34884,             0.14562,            0.057864,            0.014161,            0.034853,            0.007525,            0.007525,            0.007525
                  15,            0.051449,            0.019693,            0.029315,             0.67093,              0.2957,             0.28362,             0.12303,            0.061777,            0.013567,            0.032893,           0.0073346,           0.0073346,           0.0073346
                  16,            0.054755,            0.019508,            0.028397,             0.78929,             0.28523,             0.37605,              0.1839,            0.049499,            0.013625,            0.032196,           0.0071442,           0.0071442,           0.0071442
                  17,            0.050723,            0.020361,            0.027754,             0.78082,             0.29506,             0.35804,             0.16991,            0.054411,            0.013478,            0.031528,           0.0069538,           0.0069538,           0.0069538
                  18,            0.048942,            0.018565,            0.025824,             0.57488,             0.42053,             0.42216,             0.21493,            0.045256,            0.013818,             0.03101,           0.0067635,           0.0067635,           0.0067635
                  19,            0.045208,            0.018581,            0.026057,              0.5955,             0.36168,             0.38882,             0.20191,            0.049978,             0.01307,            0.029915,           0.0065731,           0.0065731,           0.0065731
                  20,            0.047049,            0.018336,            0.025594,             0.76186,             0.35219,             0.46418,             0.23857,            0.047691,            0.013836,            0.029798,           0.0063827,           0.0063827,           0.0063827
                  21,            0.045932,            0.017103,            0.024043,             0.58955,             0.44653,              0.4896,             0.27878,            0.044768,            0.013062,            0.028925,           0.0061923,           0.0061923,           0.0061923
                  22,             0.04299,            0.017782,            0.021956,             0.68965,             0.48996,              0.5261,             0.31032,            0.040365,            0.013385,            0.028059,           0.0060019,           0.0060019,           0.0060019
                  23,            0.041473,            0.017464,            0.023441,             0.61983,             0.50857,             0.50479,             0.29039,            0.040139,            0.013031,            0.027611,           0.0058115,           0.0058115,           0.0058115
                  24,            0.040162,            0.017507,            0.019275,             0.57816,             0.51342,             0.52555,             0.28286,            0.041009,            0.012794,             0.02693,           0.0056212,           0.0056212,           0.0056212
                  25,            0.040923,            0.017424,            0.021454,             0.68703,             0.52824,             0.57303,             0.32951,            0.037769,            0.012885,             0.02607,           0.0054308,           0.0054308,           0.0054308
                  26,            0.040349,            0.016625,            0.020681,             0.65583,             0.52742,             0.55592,             0.30401,            0.039661,            0.012836,            0.025863,           0.0052404,           0.0052404,           0.0052404
                  27,            0.038392,            0.016034,            0.020927,             0.57224,             0.55716,             0.52642,             0.27649,            0.041903,            0.012551,            0.025354,             0.00505,             0.00505,             0.00505
                  28,            0.038548,            0.016469,            0.018237,             0.67109,             0.56176,               0.576,             0.36146,            0.036278,            0.012597,             0.02497,           0.0048596,           0.0048596,           0.0048596
                  29,            0.036741,            0.016388,            0.018929,             0.64841,             0.53466,             0.56997,             0.34056,            0.039323,            0.012438,            0.024572,           0.0046692,           0.0046692,           0.0046692
                  30,            0.035939,            0.015747,            0.018119,             0.78488,             0.49545,             0.59624,             0.37304,            0.036139,            0.012695,             0.02439,           0.0044788,           0.0044788,           0.0044788
                  31,             0.03473,            0.016266,            0.018533,             0.66484,             0.52507,             0.58118,             0.37949,             0.03731,            0.012533,            0.024293,           0.0042885,           0.0042885,           0.0042885
                  32,            0.034315,            0.016043,            0.019029,             0.66161,             0.54293,             0.58885,             0.35834,            0.036056,            0.012445,            0.023936,           0.0040981,           0.0040981,           0.0040981
                  33,            0.033337,            0.015876,            0.017299,             0.71388,             0.53186,             0.60984,             0.37304,            0.036798,            0.012397,            0.023826,           0.0039077,           0.0039077,           0.0039077
                  34,            0.033024,            0.016288,            0.016369,             0.67524,             0.53971,             0.60971,             0.41447,            0.033487,            0.012282,            0.023563,           0.0037173,           0.0037173,           0.0037173
                  35,            0.031175,            0.014258,            0.017761,             0.64434,             0.55487,             0.62965,             0.39806,            0.033796,             0.01246,            0.023111,           0.0035269,           0.0035269,           0.0035269
                  36,            0.032154,             0.01504,            0.017192,             0.67319,             0.56762,             0.62159,             0.42941,            0.033391,            0.012071,             0.02266,           0.0033365,           0.0033365,           0.0033365
                  37,            0.029879,            0.014319,            0.015656,             0.67549,             0.52538,             0.62805,             0.41117,            0.032478,            0.012181,              0.0224,           0.0031462,           0.0031462,           0.0031462
                  38,            0.029859,            0.014011,            0.016225,              0.7156,              0.5188,             0.62496,             0.41532,            0.032323,            0.012093,            0.022202,           0.0029558,           0.0029558,           0.0029558
                  39,            0.029499,             0.01525,            0.015801,             0.77958,             0.53394,             0.64366,             0.45159,            0.032394,            0.012234,            0.021971,           0.0027654,           0.0027654,           0.0027654
                  40,            0.028075,            0.014219,            0.014686,             0.73652,              0.5446,              0.6354,             0.44065,            0.031677,            0.011856,            0.021839,            0.002575,            0.002575,            0.002575
                  41,            0.027633,            0.014864,            0.014935,             0.75163,             0.54405,             0.63795,             0.46196,            0.029775,             0.01193,            0.021624,           0.0023846,           0.0023846,           0.0023846
                  42,            0.027582,            0.013621,            0.015688,             0.72575,             0.52633,             0.62765,             0.44196,            0.030078,            0.011883,            0.021537,           0.0021942,           0.0021942,           0.0021942
                  43,            0.027739,            0.014973,            0.015738,              0.6963,             0.54035,             0.63243,             0.43611,            0.030389,            0.011971,            0.021513,           0.0020038,           0.0020038,           0.0020038
                  44,            0.025319,            0.014144,            0.015263,             0.70417,             0.54035,             0.63023,             0.43936,            0.029285,            0.012017,            0.021446,           0.0018135,           0.0018135,           0.0018135
                  45,            0.025633,            0.013588,            0.014793,             0.66436,             0.54035,             0.63542,             0.44715,            0.028863,            0.011903,             0.02132,           0.0016231,           0.0016231,           0.0016231
                  46,            0.025671,             0.01302,            0.014515,              0.6715,             0.52428,             0.64516,             0.45653,            0.028767,            0.011741,            0.021149,           0.0014327,           0.0014327,           0.0014327
                  47,             0.02531,            0.013921,            0.014843,             0.64155,             0.53198,             0.62884,             0.45718,            0.028531,            0.011873,            0.020908,           0.0012423,           0.0012423,           0.0012423
                  48,            0.024512,            0.012926,            0.015099,             0.58327,             0.67996,             0.64016,             0.45594,            0.028689,            0.011829,            0.020836,           0.0010519,           0.0010519,           0.0010519
                  49,            0.023576,            0.014334,            0.013546,             0.58326,             0.68441,             0.62706,             0.45573,            0.027821,            0.011805,            0.020807,          0.00086154,          0.00086154,          0.00086154
                  50,            0.024485,            0.013248,              0.0136,              0.5769,             0.66921,             0.62799,             0.45837,            0.027234,            0.011752,            0.020824,          0.00067115,          0.00067115,          0.00067115
                  51,             0.02302,            0.013832,            0.013479,             0.57631,             0.66083,             0.64127,             0.45841,            0.027625,            0.011818,            0.020747,          0.00048077,          0.00048077,          0.00048077
